# generated by tools/gen_corpus.py from spec/data/corpus.txt
# reference: CPython inflection 0.5.1
# columns: word	underscore	camelize	camelize_lower	dasherize	humanize	pluralize	singularize	tableize	titleize	parameterize	transliterate
*(BAD)*	*(bad)*	*(BAD)*	*(BAD)*	*(BAD)*	*(bad)*	*(BAD)*s	*(BAD)*	*(bad)*s	*(Bad)*	bad	*(BAD)*
*(Bad)*	*(bad)*	*(Bad)*	*(Bad)*	*(Bad)*	*(bad)*	*(Bad)*s	*(Bad)*	*(bad)*s	*(Bad)*	bad	*(Bad)*
*(bad)*	*(bad)*	*(bad)*	*(bad)*	*(bad)*	*(bad)*	*(bad)*s	*(bad)*	*(bad)*s	*(Bad)*	bad	*(bad)*
+	+	+	+	+	+	+s	+	+s	+		+
9LIVES	9_lives	9LIVES	9LIVES	9LIVES	9lives	9LIVEs	9LIfe	9_lives	9 Lives	9lives	9LIVES
9Lives	9_lives	9Lives	9Lives	9Lives	9lives	9Lives	9Life	9_lives	9 Lives	9lives	9Lives
9lives	9lives	9lives	9lives	9lives	9lives	9lives	9life	9lives	9Lives	9lives	9lives
A	a	A	a	A	A	As	A	as	A	a	A
A-Za-	a_za_	A-Za-	a-Za-	A-Za-	A-za-	A-Za-s	A-Za-	a_za_s	A Za 	a-za	A-Za-
A1_B2	a1_b2	A1B2	a1B2	A1-B2	A1 b2	A1_B2s	A1_B2	a1_b2s	A1 B2	a1_b2	A1_B2
A1_b2	a1_b2	A1B2	a1B2	A1-b2	A1 b2	A1_b2s	A1_b2	a1_b2s	A1 B2	a1_b2	A1_b2
AB	ab	AB	aB	AB	Ab	ABs	AB	abs	Ab	ab	AB
ABCD	abcd	ABCD	aBCD	ABCD	Abcd	ABCDs	ABCD	abcds	Abcd	abcd	ABCD
ABCDEFGHIJKLMNOPQRSTUVWXYZ	abcdefghijklmnopqrstuvwxyz	ABCDEFGHIJKLMNOPQRSTUVWXYZ	aBCDEFGHIJKLMNOPQRSTUVWXYZ	ABCDEFGHIJKLMNOPQRSTUVWXYZ	Abcdefghijklmnopqrstuvwxyz	ABCDEFGHIJKLMNOPQRSTUVWXYZs	ABCDEFGHIJKLMNOPQRSTUVWXYZ	abcdefghijklmnopqrstuvwxyzs	Abcdefghijklmnopqrstuvwxyz	abcdefghijklmnopqrstuvwxyz	ABCDEFGHIJKLMNOPQRSTUVWXYZ
ABCMeta	abc_meta	ABCMeta	aBCMeta	ABCMeta	Abcmeta	ABCMeta	ABCMetum	abc_meta	Abc Meta	abcmeta	ABCMeta
ABCd	ab_cd	ABCd	aBCd	ABCd	Abcd	ABCds	ABCd	ab_cds	Ab Cd	abcd	ABCd
ABILITIES	abilities	ABILITIES	aBILITIES	ABILITIES	Abilities	ABILITIEs	ABILITy	abilities	Abilities	abilities	ABILITIES
ABILITY	ability	ABILITY	aBILITY	ABILITY	Ability	ABILITies	ABILITY	abilities	Ability	ability	ABILITY
ACCESS_DENIED	access_denied	ACCESSDENIED	aCCESSDENIED	ACCESS-DENIED	Access denied	ACCESS_DENIEDs	ACCESS_DENIED	access_denieds	Access Denied	access_denied	ACCESS_DENIED
ACTION WEB SERVICE	action web service	ACTION WEB SERVICE	aCTION WEB SERVICE	ACTION WEB SERVICE	Action web service	ACTION WEB SERVICEs	ACTION WEB SERVICE	action web services	Action Web Service	action-web-service	ACTION WEB SERVICE
ACTIONWEBSERVICE	actionwebservice	ACTIONWEBSERVICE	aCTIONWEBSERVICE	ACTIONWEBSERVICE	Actionwebservice	ACTIONWEBSERVICEs	ACTIONWEBSERVICE	actionwebservices	Actionwebservice	actionwebservice	ACTIONWEBSERVICE
ACTION_WEB_SERVICE	action_web_service	ACTIONWEBSERVICE	aCTIONWEBSERVICE	ACTION-WEB-SERVICE	Action web service	ACTION_WEB_SERVICEs	ACTION_WEB_SERVICE	action_web_services	Action Web Service	action_web_service	ACTION_WEB_SERVICE
ACTIVE RECORD	active record	ACTIVE RECORD	aCTIVE RECORD	ACTIVE RECORD	Active record	ACTIVE RECORDs	ACTIVE RECORD	active records	Active Record	active-record	ACTIVE RECORD
ACTIVERECORD	activerecord	ACTIVERECORD	aCTIVERECORD	ACTIVERECORD	Activerecord	ACTIVERECORDs	ACTIVERECORD	activerecords	Activerecord	activerecord	ACTIVERECORD
ACTIVE_RECORD	active_record	ACTIVERECORD	aCTIVERECORD	ACTIVE-RECORD	Active record	ACTIVE_RECORDs	ACTIVE_RECORD	active_records	Active Record	active_record	ACTIVE_RECORD
ADDITEMS	additems	ADDITEMS	aDDITEMS	ADDITEMS	Additems	ADDITEMs	ADDITEM	additems	Additems	additems	ADDITEMS
ADDRESS	address	ADDRESS	aDDRESS	ADDRESS	Address	ADDRESSes	ADDRESS	addresses	Address	address	ADDRESS
ADDRESSES	addresses	ADDRESSES	aDDRESSES	ADDRESSES	Addresses	ADDRESSEs	ADDRESS	addresses	Addresses	addresses	ADDRESSES
AF_UNIX	af_unix	AFUNIX	aFUNIX	AF-UNIX	Af unix	AF_UNIXes	AF_UNIX	af_unixes	Af Unix	af_unix	AF_UNIX
AGENCIES	agencies	AGENCIES	aGENCIES	AGENCIES	Agencies	AGENCIEs	AGENCy	agencies	Agencies	agencies	AGENCIES
AGENCY	agency	AGENCY	aGENCY	AGENCY	Agency	AGENCies	AGENCY	agencies	Agency	agency	AGENCY
ALAR	alar	ALAR	aLAR	ALAR	Alar	ALARs	ALAR	alars	Alar	alar	ALAR
ALERT	alert	ALERT	aLERT	ALERT	Alert	ALERTs	ALERT	alerts	Alert	alert	ALERT
ALERT_DESCRIPTION_	alert_description_	ALERTDESCRIPTION_	aLERTDESCRIPTION_	ALERT-DESCRIPTION-	Alert description 	ALERT_DESCRIPTION_s	ALERT_DESCRIPTION_	alert_description_s	Alert Description 	alert_description_	ALERT_DESCRIPTION_
ALIAS	alias	ALIAS	aLIAS	ALIAS	Alias	ALIASes	ALIAS	aliases	Alias	alias	ALIAS
ALIASES	aliases	ALIASES	aLIASES	ALIASES	Aliases	ALIASEs	ALIAS	aliases	Aliases	aliases	ALIASES
